"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,"Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",35-44,female,inactive,"Con el presupuesto del conjunto de anuncios",0,412266,23924,12692,1006,336,2.426726,1226.981664,198,actions:onsite_conversion.messaging_conversation_started_7d,2082.15070181,"En curso","7 días tras clic o 1 día tras visualización",17232.312279,,1.884967,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",35-44,male,inactive,"Con el presupuesto del conjunto de anuncios",0,189099,12463,6738,357,112,1.543485,1688.381097,54,actions:onsite_conversion.messaging_conversation_started_7d,3501.82746021,"En curso","7 días tras clic o 1 día tras visualización",15172.806134,,1.849659,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",35-44,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,6298,391,247,9,2,0.809717,3149.060511,,,,"En curso","7 días tras clic o 1 día tras visualización",16107.726397,,1.582996,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",45-54,female,inactive,"Con el presupuesto del conjunto de anuncios",0,221117,10939,6008,466,153,2.097204,1445.212195,86,actions:onsite_conversion.messaging_conversation_started_7d,2571.13332362,"En curso","7 días tras clic o 1 día tras visualización",20213.681857,,1.820739,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",45-54,male,inactive,"Con el presupuesto del conjunto de anuncios",0,96610,5199,2899,172,42,1.414281,2300.227029,22,actions:onsite_conversion.messaging_conversation_started_7d,4391.34251082,"En curso","7 días tras clic o 1 día tras visualización",18582.330302,,1.793377,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",45-54,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,3584,207,117,7,2,1.709402,1792.103528,2,actions:onsite_conversion.messaging_conversation_started_7d,1792.10352754,"En curso","7 días tras clic o 1 día tras visualización",17315.009928,,1.769231,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",55-64,female,inactive,"Con el presupuesto del conjunto de anuncios",0,95087,5041,2737,240,76,2.228718,1251.145033,28,actions:onsite_conversion.messaging_conversation_started_7d,3395.96508931,"En curso","7 días tras clic o 1 día tras visualización",18862.730113,,1.841798,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",55-64,male,inactive,"Con el presupuesto del conjunto de anuncios",0,54253,2199,1229,90,23,1.790073,2358.837865,14,actions:onsite_conversion.messaging_conversation_started_7d,3875.23363566,"En curso","7 días tras clic o 1 día tras visualización",24671.792132,,1.78926,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",55-64,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,2622,65,48,4,2,4.166667,1310.941486,,,,"En curso","7 días tras clic o 1 día tras visualización",40336.661119,,1.354167,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",65+,female,inactive,"Con el presupuesto del conjunto de anuncios",0,39529,1805,974,111,44,3.49076,898.393461,20,actions:onsite_conversion.messaging_conversation_started_7d,1976.46561524,"En curso","7 días tras clic o 1 día tras visualización",21899.896014,,1.853183,
